2025-10-26 15:55:29,170 | INFO | matching_engine.matching | 🔄 Matching order: Order(symbol='BTC-USDT', side=<Side.SELL: 'sell'>, order_type=<OrderType.LIMIT: 'limit'>, quantity=Decimal('10'), price=Decimal('900'), timestamp=datetime.datetime(2025, 10, 26, 10, 25, 29, 170478), id='97a891ca-585b-48fd-a273-0b14c5e21d77')
2025-10-26 15:55:29,171 | INFO | matching_engine | 📤 Response 200 (2.02 ms)
2025-10-26 15:56:02,605 | INFO | matching_engine | 🚀 Matching Engine API started successfully.
2025-10-26 15:56:06,396 | INFO | matching_engine | 📥 Incoming request: POST http://localhost:8000/orders
2025-10-26 15:56:06,398 | INFO | matching_engine.matching | 🔄 Matching order: Order(symbol='BTC-USDT', side=<Side.SELL: 'sell'>, order_type=<OrderType.LIMIT: 'limit'>, quantity=Decimal('10'), price=Decimal('900'), timestamp=datetime.datetime(2025, 10, 26, 10, 26, 6, 398316), id='07bc028d-9808-4910-b362-e4ab3a76bf5c')
2025-10-26 15:56:06,399 | INFO | matching_engine | 📤 Response 200 (2.92 ms)
2025-10-26 15:56:10,665 | INFO | matching_engine | 📥 Incoming request: POST http://localhost:8000/orders
2025-10-26 15:56:10,666 | INFO | matching_engine.matching | 🔄 Matching order: Order(symbol='BTC-USDT', side=<Side.BUY: 'buy'>, order_type=<OrderType.LIMIT: 'limit'>, quantity=Decimal('10'), price=Decimal('900'), timestamp=datetime.datetime(2025, 10, 26, 10, 26, 10, 666946), id='ab6d0907-9d9b-49dd-83aa-5d35bc3a08e5')
2025-10-26 15:56:10,666 | INFO | matching_engine.matching | ✅ Trade successful: [Trade(trade_id='853e03e4-81ae-4c28-a866-df0637a7a8f8', timestamp='2025-10-26T10:26:10.666946Z', symbol='BTC-USDT', price='900', quantity='10', aggressor_side='buy', maker_order_id='07bc028d-9808-4910-b362-e4ab3a76bf5c', taker_order_id='ab6d0907-9d9b-49dd-83aa-5d35bc3a08e5')]
2025-10-26 15:56:10,667 | INFO | matching_engine | 📤 Response 200 (2.00 ms)
2025-10-26 15:56:59,654 | INFO | matching_engine | 🚀 Matching Engine API started successfully.
2025-10-26 15:58:26,007 | INFO | matching_engine | 🚀 Matching Engine API started successfully.
2025-10-26 15:58:28,714 | INFO | matching_engine | 📥 Incoming request: POST http://localhost:8000/orders
2025-10-26 15:58:28,716 | INFO | matching_engine.matching | 🔄 Matching order: Order(symbol='BTC-USDT', side=<Side.BUY: 'buy'>, order_type=<OrderType.LIMIT: 'limit'>, quantity=Decimal('10'), price=Decimal('900'), timestamp=datetime.datetime(2025, 10, 26, 10, 28, 28, 716440), id='78b97b91-5018-43c3-a6cd-9e5fa1335118')
2025-10-26 15:58:28,716 | INFO | matching_engine | 📤 Response 200 (1.99 ms)
2025-10-26 15:58:34,971 | INFO | matching_engine | 📥 Incoming request: POST http://localhost:8000/orders
2025-10-26 15:58:34,972 | INFO | matching_engine.matching | 🔄 Matching order: Order(symbol='BTC-USDT', side=<Side.SELL: 'sell'>, order_type=<OrderType.LIMIT: 'limit'>, quantity=Decimal('10'), price=Decimal('900'), timestamp=datetime.datetime(2025, 10, 26, 10, 28, 34, 972436), id='8ad252d2-bd0b-4d2b-819b-89d87404eace')
2025-10-26 15:58:34,973 | INFO | matching_engine.matching | ✅ Trade successful: [Trade(trade_id='98168ce0-3aef-4eab-b82b-63302e3ded06', timestamp='2025-10-26T10:28:34.973435Z', symbol='BTC-USDT', price='900', quantity='10', aggressor_side='sell', maker_order_id='78b97b91-5018-43c3-a6cd-9e5fa1335118', taker_order_id='8ad252d2-bd0b-4d2b-819b-89d87404eace')]
2025-10-26 15:58:34,973 | INFO | matching_engine | 📤 Response 200 (2.00 ms)
2025-10-26 15:59:15,628 | INFO | matching_engine | 🚀 Matching Engine API started successfully.
